,item.value,name,full_w
0,http://data.mimotext.uni-trier.de/entity/Q1019,Abbes_Voyage,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Abbes_Voyage.xml
1,http://data.mimotext.uni-trier.de/entity/Q1019,Abbes_Voyage,https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Abbes_Voyage.txt
2,http://data.mimotext.uni-trier.de/entity/Q1123,PigaultLebrun_Metusko,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/PigaultLebrun_Metusko.xml
3,http://data.mimotext.uni-trier.de/entity/Q1123,PigaultLebrun_Metusko,https://github.com/MiMoText/roman18/blob/master/plain/files/PigaultLebrun_Metusko.txt
4,http://data.mimotext.uni-trier.de/entity/Q1125,PigaultLebrun_Kinglin,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/PigaultLebrun_Kinglin.xml
5,http://data.mimotext.uni-trier.de/entity/Q1125,PigaultLebrun_Kinglin,https://github.com/MiMoText/roman18/blob/master/plain/files/PigaultLebrun_Kinglin.txt
6,http://data.mimotext.uni-trier.de/entity/Q1128,Quesne_Folies,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Quesne_Folies.xml
7,http://data.mimotext.uni-trier.de/entity/Q1128,Quesne_Folies,https://github.com/MiMoText/roman18/blob/master/plain/files/Quesne_Folies.txt
8,http://data.mimotext.uni-trier.de/entity/Q1148,Anonym_Enfant,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Anonym_Enfant.xml
9,http://data.mimotext.uni-trier.de/entity/Q1148,Anonym_Enfant,https://github.com/MiMoText/roman18/blob/master/plain/files/Anonym_Enfant.txt
10,http://data.mimotext.uni-trier.de/entity/Q1165,AndreSerieys_Comte,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/AndreSerieys_Comte.xml
11,http://data.mimotext.uni-trier.de/entity/Q1165,AndreSerieys_Comte,https://github.com/MiMoText/roman18/blob/master/plain/files/AndreSerieys_Comte.txt
12,http://data.mimotext.uni-trier.de/entity/Q1186,Dorvigny_Tante,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Dorvigny_Tante.xml
13,http://data.mimotext.uni-trier.de/entity/Q1186,Dorvigny_Tante,https://github.com/MiMoText/roman18/blob/master/plain/files/Dorvigny_Tante.txt
14,http://data.mimotext.uni-trier.de/entity/Q1197,Genlis_Meres,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Genlis_Meres.xml
15,http://data.mimotext.uni-trier.de/entity/Q1197,Genlis_Meres,https://github.com/MiMoText/roman18/blob/master/plain/files/Genlis_Meres.txt
16,http://data.mimotext.uni-trier.de/entity/Q1221,Duclos_Memoires,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Duclos_Memoires.xml
17,http://data.mimotext.uni-trier.de/entity/Q1221,Duclos_Memoires,https://github.com/MiMoText/roman18/blob/master/plain/files/Duclos_Memoires.txt
18,http://data.mimotext.uni-trier.de/entity/Q1233,Marchand_Avis,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Marchand_Avis.xml
19,http://data.mimotext.uni-trier.de/entity/Q1233,Marchand_Avis,https://github.com/MiMoText/roman18/blob/master/plain/files/Marchand_Avis.txt
20,http://data.mimotext.uni-trier.de/entity/Q1241,Arnaud_Bal,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Arnaud_Bal.xml
