,LOC,PER
Cazotte_Ollivier.txt,"[(('Ollivier', 'LOC'), 87), (('Barin', 'LOC'), 46), (('Fleur-De-Myrte', 'LOC'), 40), (('Tours', 'LOC'), 21), (('Alérie', 'LOC'), 13)]","[(('Enguerrand', 'PER'), 80), (('Sigismond', 'PER'), 38), (('Agnès', 'PER'), 35), (('Frédegilde', 'PER'), 21), (('Henri', 'PER'), 21)]"
Constant_Laure2.txt,"[(('Marville', 'LOC'), 46), (('Flamacour', 'LOC'), 28), (('Mr.', 'LOC'), 24), (('Mr. de St. Ange', 'LOC'), 15), (('Mde', 'LOC'), 14)]","[(('Mlle. de Mirfor', 'PER'), 86), (('Mr. de St. Ange', 'PER'), 21), (('Made', 'PER'), 11), (('Monsieur', 'PER'), 10), (('Taninge', 'PER'), 10)]"
LaPlace_Collection.txt,"[(('Oronoko', 'LOC'), 95), (('Byam', 'LOC'), 72), (('Paris', 'LOC'), 47), (('Imoinda', 'LOC'), 44), (('Beaubourg', 'LOC'), 29)]","[(('César', 'PER'), 153), (('Agathe', 'PER'), 112), (('Duclos', 'PER'), 70), (('Imoinda', 'PER'), 57), (('Tréfry', 'PER'), 56)]"
Leonard_Clementine.txt,"[(('Seligny', 'LOC'), 12), (('Emilie', 'LOC'), 9), (('Adieu', 'LOC'), 4), (('Mercourt', 'LOC'), 2), (('Aujourd', 'LOC'), 2)]","[(('Henriette', 'PER'), 40), (('Seligny', 'PER'), 17), (('Norton', 'PER'), 15), (('Madame De Berville', 'PER'), 13), (('Combien', 'PER'), 5)]"
Riccoboni_MissJenny.txt,"[(('Anglesey', 'LOC'), 144), (('Londres', 'LOC'), 84), (('Sara', 'LOC'), 29), (('Angleterre', 'LOC'), 19), (('Irlande', 'LOC'), 9)]","[(('Lidy', 'PER'), 118), (('Edouard', 'PER'), 104), (('Sir James', 'PER'), 94), (('Milord Alderson', 'PER'), 73), (('Milord Arundel', 'PER'), 53)]"
Nerciat_Felicia.txt,"[(('Aiglemont', 'LOC'), 80), (('Sylvina', 'LOC'), 62), (('Paris', 'LOC'), 50), (('Monrose', 'LOC'), 34), (('Sydney', 'LOC'), 31)]","[(('Sylvina', 'PER'), 148), (('Thérèse', 'PER'), 82), (('Sydney', 'PER'), 67), (('Lambert', 'PER'), 66), (('Sylvino', 'PER'), 50)]"
Diderot_Neveu.txt,"[(('MOI.---Je', 'LOC'), 7), (('Paris', 'LOC'), 6), (('MOI.---Il', 'LOC'), 6), (('Indes', 'LOC'), 5), (('LUI.---Mais', 'LOC'), 5)]","[(('Rameau', 'PER'), 18), (('Palissot', 'PER'), 18), (('Voltaire', 'PER'), 10), (('Bertin', 'PER'), 5), (('Diogène', 'PER'), 4)]"
Voltaire_Micromegas.txt,"[(('Micromégas', 'LOC'), 17), (('Saturne', 'LOC'), 13), (('Sirius', 'LOC'), 5), (('Jupiter', 'LOC'), 5), (('mer Baltique', 'LOC'), 3)]","[(('Micromégas', 'PER'), 6), (('Saturne', 'PER'), 4), (('Combien', 'PER'), 4), (('Aristote', 'PER'), 3), (('Ah', 'PER'), 2)]"
Constant_Laure1.txt,"[(('Verseuil', 'LOC'), 9), (('Orseuil', 'LOC'), 7), (('Mr.', 'LOC'), 6), (('Laure', 'LOC'), 4), (('Adieu', 'LOC'), 4)]","[(('madame de St. Marcin', 'PER'), 16), (('Amélie', 'PER'), 12), (('Mr. de Verseuil', 'PER'), 6), (('Elp', 'PER'), 6), (('Mlle. de Mirfor', 'PER'), 5)]"
Leonard_Lettres.txt,"[(('Mademoiselle', 'LOC'), 22), (('Adieu', 'LOC'), 15), (('A', 'LOC'), 12), (('Thérese', 'LOC'), 12), (('Paris', 'LOC'), 10)]","[(('Monsieur', 'PER'), 49), (('Faldoni', 'PER'), 38), (('Curé', 'PER'), 20), (('Madame de Saint-Cyran', 'PER'), 16), (('Combien', 'PER'), 12)]"
Montesquieu_Arsace.txt,"[(('Ardasire', 'LOC'), 29), (('Aspar', 'LOC'), 16), (('Médie', 'LOC'), 14), (('Bactriane', 'LOC'), 13), (('Hyrcanie', 'LOC'), 11)]","[(('Ardasire', 'PER'), 38), (('Arsace', 'PER'), 31), (('Isménie', 'PER'), 5), (('Bactriane', 'PER'), 4), (('Artamène', 'PER'), 2)]"
Lesuire_Crime.txt,"[(('Paris', 'LOC'), 135), (('Laure', 'LOC'), 124), (('Dumoulin', 'LOC'), 75), (('Demoiselle', 'LOC'), 70), (('Couvent', 'LOC'), 69)]","[(('Frédégonde', 'PER'), 152), (('Monsieur', 'PER'), 149), (('Levrette', 'PER'), 146), (('Chevalier Marqué', 'PER'), 138), (('César de Perlencour', 'PER'), 94)]"
Genlis_Adele.txt,"[(('Adieu', 'LOC'), 149), (('Paris', 'LOC'), 142), (('Théodore', 'LOC'), 43), (('Rome', 'LOC'), 43), (('Languedoc', 'LOC'), 30)]","[(('Adèle', 'PER'), 558), ((""Madame D'Ostalis"", 'PER'), 122), (('De Valmont', 'PER'), 108), (('Aimeri', 'PER'), 102), (('Madame De Valmont', 'PER'), 100)]"
Beaumont_Clarice.txt,"[(('caps"">La Nouvelle</hi', 'LOC'), 171), (('Clarice', 'LOC'), 47), (('Londres', 'LOC'), 37), (('Doyen', 'LOC'), 23), (('France', 'LOC'), 20)]","[(('Ciel', 'PER'), 43), (('Sir Derby', 'PER'), 41), (('Hariote', 'PER'), 39), (('Madame', 'PER'), 37), (('Clarice', 'PER'), 36)]"
Ducray_Cinquante.txt,"[(('Eranville', 'LOC'), 97), (('Paris', 'LOC'), 90), (('Saint-Ange', 'LOC'), 75), (('Briceval', 'LOC'), 73), (('Linval', 'LOC'), 44)]","[(('Jeannette', 'PER'), 485), (('Cécile', 'PER'), 150), (('Rosalie', 'PER'), 85), (('M. de Verneuil', 'PER'), 49), (('Emilie', 'PER'), 36)]"
Genlis_Chevaliers.txt,"[(('Armoflède', 'LOC'), 240), (('Nasuf', 'LOC'), 100), (('Abassa', 'LOC'), 86), (('Isambard', 'LOC'), 79), (('Ordalie', 'LOC'), 58)]","[(('Béatrix', 'PER'), 286), (('Isambard', 'PER'), 279), (('Célanire', 'PER'), 245), (('Olivier', 'PER'), 235), (('Barmécide', 'PER'), 170)]"
Crebillon_Atheniennes.txt,"[(('Aspasie', 'LOC'), 99), (('Athênes', 'LOC'), 83), (('Axiochus', 'LOC'), 80), (('Thrazylle', 'LOC'), 75), (('Grèce', 'LOC'), 33)]","[(('Alcibiade', 'PER'), 145), (('Périclès', 'PER'), 94), (('Cléon', 'PER'), 48), (('Socrate', 'PER'), 45), (('Diotime', 'PER'), 44)]"
Riccoboni_Histoire.txt,"[(('Adélaïde', 'LOC'), 62), (('Cressy', 'LOC'), 38), (('Elmont', 'LOC'), 25), (('Hortense', 'LOC'), 14), (('Chelles', 'LOC'), 7)]","[(('Adélaïde', 'PER'), 42), (('Madame de Cressy', 'PER'), 40), (('Mademoiselle Du Bugei', 'PER'), 36), (('M de Cressy', 'PER'), 35), (('Mademoiselle De Berneil', 'PER'), 33)]"
Puttelange_Roi.txt,"[(('Paquantois', 'LOC'), 13), (('Paquans', 'LOC'), 12), (('Sire', 'LOC'), 5), (('Bagatelle', 'LOC'), 4), (('Memphis', 'LOC'), 3)]","[(('Guiot', 'PER'), 94), (('Dézila', 'PER'), 10), (('Le roi', 'PER'), 7), (('Bagatelle', 'PER'), 7), (('Thérèse', 'PER'), 4)]"
