Werk ID	Column	Narrative_Location	Wikdata Id	occurenceInText	Quantity	Property	LOC 2	Wikidata ID2	Quantity2	Property2	LOC3	Wikidata ID 3	Quantity3	narrative_location	LOC 4	Wikidata ID 4	quantity	Property3	LOC 13	Wikidata ID 5	quantity2
Gorjy_Voyage.txt	narrative_location	Kermouth		occurenceInText	13	narrative_location	Artémire		7					narrative_location	Paris	Q90	5	narrative_location	Calais		4
Laclos_Liaisons.txt						narrative_location	Paris	Q90	105												
Benoist_Elisabeth.txt														narrative_location	Paris	Q90	48				
Riccoboni_MylordRivers.txt										narrative_location	London	Q84	37					narrative_location	Paris	Q90	23
Kimber_Thompson.txt	narrative_location	London	Q84	occurenceInText	110	narrative_location	England		69												
Voltaire_Princesse.txt	narrative_location	Babylon	Q5684	occurenceInText	76	narrative_location	Égypte		29	narrative_location	Formosante		29					narrative_location	Aldée		14
Sacy_Amours.txt																					
Segur_Correspondance.txt	narrative_location	Paris	Q90	occurenceInText	182	narrative_location	Madrid		67					narrative_location	Coulanges		37	narrative_location	Pont-de-Vesle		35
Chevrier_Colporteur.txt	narrative_location	Paris	Q90	occurenceInText	66					narrative_location	Bélise		15	narrative_location	de France		12	narrative_location	Italie		8
Crebillon_Conte.txt														narrative_location	Isma		28				
Souza_Adele.txt	narrative_location	Sénange		occurenceInText	132	narrative_location	Neuilly		31	narrative_location	Paris	Q90	28	narrative_location	Mortagne		27				
Prevost_Manon.txt	narrative_location	Paris	Q90	occurenceInText	65	narrative_location	Saint-Lazare		19	narrative_location	Chaillot		16	narrative_location	Amiens		15	narrative_location	Tiberge		14
Bernardin_Chaumiere.txt	narrative_location	Ganges	Q5089	occurenceInText	13	narrative_location	Jagrenat		13	narrative_location	India		12	narrative_location	India		12	narrative_location	England	Q21	8
Florian_Estelle.txt						narrative_location	Némorin		95	narrative_location	Massanne		24	narrative_location	Rose		20				
Popeliniere_Daira.txt														narrative_location	Ville		17	narrative_location	Isle		17
Dulaurens_Imirce.txt	narrative_location	Paris	Q90	occurenceInText	93	narrative_location	Tien		22	narrative_location	Xenoti		14	narrative_location	France		10	narrative_location	China		8
Doppet_Memoires.txt	narrative_location	Paris	Q90	occurenceInText	27	narrative_location	Annecy		26	narrative_location	Chambéry		13	narrative_location	Savoye		9				
Riccoboni_LettresAdelaide.txt						narrative_location	Paris	Q90	36	narrative_location	Montalais		34	narrative_location	Sancerre		20	narrative_location	Termes		19
Louvet_Annee.txt														narrative_location	Titsikan		27	narrative_location	Paris	Q90	23
Arnaud_Epoux.txt										narrative_location	Paris	Q90	27	narrative_location	Lesseville		15	narrative_location	Sélincourt		9
