filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf	author_wikidata	title_wikidata
Segur_Correspondance	Alexandre-Joseph-Pierre vicomte de Ségur	Correspondance secrète entre Ninon de Lenclos, le Marquis de Villarceaux et Madame M.	M	1789	1805	epistolary	historical	semi-automatic transcription	36922	medium	89.104	Q321684	NA
Senac_Emigre	Gabriel Sénac de Meilhan	L’Émigré	M	1797	1797	epistolary	historical	semi-automatic transcription	140007	long	97.74	Q3093966	NA
Souza_Adele	Adélaïde de Souza	Adèle de Senange	F	1794	1821	epistolary	modern	semi-automatic transcription	53365	short	94.13	Q589562	NA
Tiphaigne_Amilec	Tiphaigne de La Roche	Amilec, ou la Graine d'Hommes qui sert à peupler les planètes	M	1753	1754	autodiegetic	historical	semi-automatic transcription	17509	short	53.33	Q2958070	NA
Tiphaigne_Galligenes	Tiphaigne de La Roche	Histoire des Galligènes	M	1765	1765	heterodiegetic	historical	double keying	39652	short	65.50	Q2958070	NA
Tressan_Jehan	Louis-Elisabeth de Lavergne, comte de Tressan	Histoire du petit Jehan de Saintré, et de Gérard de Nevers, par Tressan	M	1780	1824	heterodiegetic	historical	semi-automatic transcription	28249	short	80.32	Q219622	NA
Tressan_Prince	Louis-Elisabeth de Lavergne, comte de Tressan	Histoires du petit Jehan de Saintré, et de Gérard de Nevers	M	1780	1824	heterodiegetic	historical	semi-automatic transcription	29406	short	80.33	Q219622	NA
Voisenon_Histoire	Claude Henri de Fusée de Voisenon	Histoire de la Félicité	M	1751	1781	heterodiegetic	modern	semi-automatic transcription	10888	short	51.42	Q2976734	NA
Voltaire_Candide	François-Marie Arouet Voltaire	Candide, ou l'Optimisme	M	1759	1791	heterodiegetic	modern	semi-automatic transcription	33824	short	59.25	Q9068	Q215894
Voltaire_Homme	François-Marie Arouet Voltaire	L’Homme aux quarante écus	M	1768	1877	homodiegetic	modern	semi-automatic transcription	23195	short	68.55	Q9068	Q3203608
Voltaire_Micromegas	François-Marie Arouet Voltaire	Micromégas	M	1752	1950	heterodiegetic	modern	semi-automatic transcription	7110	short	52.43	Q9068	Q1785978
Voltaire_Princesse	François-Marie Arouet Voltaire	La Princesse de Babylone	M	1768	1877	heterodiegetic	modern	semi-automatic transcription	27534	short	68.56	Q9068	Q3211934
