,Text in Cottin_Claire,Text in B,Location in Cottin_Claire,Location in B
Mercier_Jezennemours_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(46177, 46208)","(75551, 75582)"
Morelly_Naufrage_0,"rédéric jette un cri perçant, RENVERSE TOUT CE QUI SE TROUVE SUR SON PASSAGE, et s'élance hors de la chamb","n de poussière, briser etamp; RENVERSER TOUT CE QUI SE TROUVE SUR SON PASSAGE; de même ces masses entraînée","(189623, 189669)","(266156, 266203)"
Nerciat_Aphrodites_0,"chez Françoise, je n'avais eu QUE LE TEMPS DE PASSER UN JUPON et de jeter un schall sur mes","nterie, Ma chère Durut: je ne DEMANDE QUE LE TEMPS DE PASSER UN DÉshabillé, et je vais avec vous","(34460, 34491)","(328295, 328331)"
Nerciat_Etourdi_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(46177, 46208)","(62685, 62716)"
Nerciat_Felicia_0,"es yeux fixèrent vos charmes, UN MOUVEMENT PLUS PROMPT QUE LA PENSÉE m'attira, j'osai porter mes l","lière caresse. Je frissonnai, UN MOUVEMENT PLUS PROMPT QUE LA PENSÉE changea ma posture ; Sylvino ","(92126, 92164)","(50902, 50940)"
Popeliniere_Daira_0,"u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON cœur. J'avais espéré pourtant", etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de,"(140010, 140039)","(83638, 83667)"
Retif_Paysanne_0, de Frédéric : cela m'a émue. JE LUI AI TENDU LA MAIN EN lui demandant pardon ; il l'a, et s'est élancé jusqu'à moi. JE LUI AI TENDU LA MAIN EN souriant. « Quoi ! C'est vous,"(18862, 18888)","(678756, 678782)"
Retif_Paysanne_1,"t un monstre : la distance de CE QUE TU ES, À CE QUE TU feignais d'être, est immense,","t : « Ah, ça, ma fille, je saiS CE QUE TU ES, CE QUE tu as fait ; la corde était to","(181838, 181863)","(678756, 678782)"
Riccoboni_LettreJuliette_0,"rédéric jette un cri perçant, RENVERSE TOUT CE QUI SE TROUVE SUR SON PASSAGE, et s'élance hors de la chamb",", brise tout ce qu'il touche, RENVERSE TOUT CE QUI SE TROUVE SUR SON PASSAGE, va comme un fou au travers d","(189623, 189669)","(112709, 112755)"
Riccoboni_LettresAdelaide_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva"," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","(46177, 46208)","(11531, 11562)"
Rosny_Firmin_0,"m'a vue, mais qu'il sait tout CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar",ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"(140015, 140044)","(58607, 58636)"
Rousseau_Emile_0,"x plaisir, et je vois qu'il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR l'apprécier. Vous avez raison",utes pour s'égarer. Mais il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR ne point agir. Dans l'inquiét,"(61659, 61699)","(1267144, 1267184)"
