,LOC,PER
Prevost_Monde.txt,"[('Vienne', 45), ('Paris', 43), ('Hongrie', 35), ('Tergowitz', 24), ('Hélene', 23)]","[('Mademoiselle Tekely', 199), ('Madame Olasmir', 44), ('Angélique', 31), ('Mademoiselle De Créon', 28), ('Mademoiselle De', 23)]"
Puget_Periphas.txt,"[('Periphas', 67), ('Phocide', 57), ('Athenes', 49), ('Locriens', 42), ('Phocus', 40)]","[('Periphas', 166), ('Dieux', 105), ('Apollon', 59), ('Ociroé', 43), ('Cécrops', 38)]"
Lagrave_Zabeth.txt,"[('Saint-Silvain', 120), ('Combe', 39), ('Fermon', 27), ('Wilton', 21), ('Boulogne', 17)]","[('Zabeth', 369), ('Enneric', 99), ('Frédérique', 76), ('M.', 74), ('madame Noriss', 74)]"
Retif_Vie.txt,"[('Paris', 27), ('Nitri', 23), ('Auxerre', 14), ('état', 7), ('Noyers', 6)]","[('Edmond', 175), ('Edme R.', 108), ('Rose', 31), ('Bibi', 24), ('Eugénie', 23)]"
Florian_Galatee.txt,"[('Artidore', 38), ('Téolinde', 33), ('Mœris', 29), ('Nisida', 19), ('Florise', 16)]","[('Cervantes', 46), ('Nisida', 44), ('Timbrio', 41), ('Galatée', 31), ('Blanche', 28)]"
Laclos_Liaisons.txt,"[('Paris', 104), ('petite Volanges', 26), ('Prévan', 17), ('Opéra', 14), ('Gercourt', 12)]","[('Monsieur', 83), ('M. de Valmont', 74), ('Madame', 72), ('Vicomte de Valmont', 47), ('Marquise de Merteuil', 45)]"
Sade_Infortunes.txt,"[('Dalville', 27), ('Paris', 25), ('providence', 21), ('Lyon', 19), ('Dubois', 18)]","[('Raphaël', 42), ('Bressac', 26), ('Mme de Lorsange', 25), ('Sophie', 25), ('Antonin', 24)]"
Voltaire_Homme.txt,"[('État', 30), ('Paris', 22), (""l'Europe"", 11), ('Rome', 7), ('la France', 6)]","[('M. André', 17), ('M.', 7), ('Hippocrate', 6), ('Marc-Antonin', 6), ('Henri IV', 5)]"
Florian_Estelle.txt,"[('Némorin', 43), ('Massanne', 26), ('Estelle', 15), ('Languedoc', 13), ('Nismes', 12)]","[('Némorin', 120), ('Estelle', 103), ('Raimond', 71), ('Marguerite', 53), ('Rose', 37)]"
Loaisel_Comtesse.txt,"[('Saint-Flour', 21), ('Milcourt', 5), ('soleil', 2), ('jura', 2), ('Alibre', 2)]","[('Lucile', 72), ('madame de Courmill', 23), ('Alibre', 7), ('Madame de Courmill', 6), ('M. de Saint-Flour', 6)]"
