FR								
new								
LOCATION STRING (novel)	Wikidata Label fr	coordonnées géographiques	Wikidata URL (P31)	Quelle 				
 palais-royal	Palais-Royal	48.863333333333,2.3369444444444	https://www.wikidata.org/wiki/Q329948	NER				
 Paquantois	 Paquantois			NER				
 Parangon	 Parangon			NER				
 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	NER				
 Pays	pays		https://www.wikidata.org/wiki/Q6256	NER				
 Phocide	Phocide	38.5,22.25	https://www.wikidata.org/wiki/Q26915	NER				
 Phocus	 Phocus			NER				
 Polonais	Pologne	52,19	https://www.wikidata.org/wiki/Q36	NER				
 Primrose	 Primrose			NER				
 Région	zone géographique		https://www.wikidata.org/wiki/Q82794	NER				
 République	république		https://www.wikidata.org/wiki/Q7270	NER				
 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	NER				
 Rosemont	 Rosemont			NER				
 Saint - Flour	 Saint - Flour			NER				
 Saint-Ange	 Saint-Ange			NER				
 Saint-Domingue	Saint-Domingue	19.1,-72.333333333333	https://www.wikidata.org/wiki/Q861551	NER				
 Saint-Firmin	Saint-Firmin	47.043333333333,3.3916666666667	https://www.wikidata.org/wiki/Q37180	NER				
 Saint-Flour	 Saint-Flour			NER				
 Saintré	 Saintré			NER				
 Samarah	Samarah	16.139722222222,43.151944444444	https://www.wikidata.org/wiki/Q20306954	NER				
 Sancerre	 Sancerre			NER				
 Sargines	 Sargines			NER				
 sauvai	 sauvai			NER				
 Savoye	Savoie	45.57,5.9118	https://www.wikidata.org/wiki/Q14118	NER				
 Scythes	Scythes		https://www.wikidata.org/wiki/Q131802	NER				
 Seine	Seine	49.434722222222,0.1175	https://www.wikidata.org/wiki/Q1471	NER				
 Senneterre	 Senneterre			NER				
 Senneville	 Senneville			NER				
 Sérail	sérail		https://www.wikidata.org/wiki/Q1170287	NER				
 Sicile	Sicile	37.566666666667,14.266666666667	https://www.wikidata.org/wiki/Q4951156	NER				
 Sidley	 Sidley			NER				
 Silvérie	Silvérie		https://www.wikidata.org/wiki/Q19232000	NER				
 Sinderson	 Sinderson			NER				
 Sirius	Sirius		https://www.wikidata.org/wiki/Q3409	NER				
 soleil	Soleil		https://www.wikidata.org/wiki/Q525	NER				
 Sparte	Sparte	37.081944444444,22.423611111111	https://www.wikidata.org/wiki/Q5690	NER				
 Strasbourg	Strasbourg	48.573333333333,7.7522222222222	https://www.wikidata.org/wiki/Q6602	NER				
 Sylvanire	 Sylvanire			NER				
 Syndham	 Syndham			NER				
 Taïti	Tahiti	-17.666666666667,-149.46666666667	https://www.wikidata.org/wiki/Q42000	NER				
 Taninge	Taninges	46.1075,6.5913888888889	https://www.wikidata.org/wiki/Q369188	NER				
 Téolinde	 Téolinde			NER				
 Tergowitz	 Tergowitz			NER				
 Thémines	 Thémines			NER				
 Thomill	 Thomill			NER				
 Thrazylle	 Thrazylle			NER				
 Tien	 Tien			NER				
 Tiennete	 Tiennete			NER				
 Timante	 Timante			NER				
 Timori	 Timori			NER				
 Tours	Tours	47.392777777778,0.68833333333333	https://www.wikidata.org/wiki/Q288	NER				
 Tout-Ou-Rien	 Tout-Ou-Rien			NER				
 Turin	Turin	45.066666666667,7.7	https://www.wikidata.org/wiki/Q495	NER				
 Univers	univers		https://www.wikidata.org/wiki/Q1	NER				
 Ust	 Ust			NER				
 Valcreux	 Valcreux			NER				
 Vante	 Vante			NER				
 Varsovie	Varsovie	52.216666666667,21.033333333333	https://www.wikidata.org/wiki/Q270	NER				
 Venise	Venise	45.439722222222,12.331944444444	https://www.wikidata.org/wiki/Q641	NER				
 Vénus	Vénus		https://www.wikidata.org/wiki/Q313	NER				
 Versenai	 Versenai			NER				
 Vestibule	vestibule		https://www.wikidata.org/wiki/Q301276	NER				
 Villarceaux	domaine de Villarceaux	49.123055555556,1.7058333333333	https://www.wikidata.org/wiki/Q3034560	NER				
 Ville	ville		https://www.wikidata.org/wiki/Q515	NER				
 Vinchester	 Vinchester			NER				
 Vitikind	 Vitikind			NER				
 Volsange	 Volsange			NER				
 Wilton	 Wilton			NER				
 Zamé	Zamé	11.083333333333,-0.56666666666667	https://www.wikidata.org/wiki/Q8065766	NER				
 Zeinzemin	 Zeinzemin			NER				
 Zéphyre	Zéphyre		https://www.wikidata.org/wiki/Q3576516	NER				
 Zerbin				NER				
Alménidore	Alménidore			NER				
Alpes	Alpes	46,10	https://www.wikidata.org/wiki/Q1286	NER				
Altendorf	Altendorf	47.192222222222,8.83	https://www.wikidata.org/wiki/Q69625	NER				
Anglesey	Anglesey	53.293975,-4.376728	https://www.wikidata.org/wiki/Q168159	NER				
Ardasire	Ardasire			NER				
Armoflède	Armoflède			NER				
Artidore	Artidore			NER				
Auterive	Auterive			NER				
Axiochus	Axiochus			NER				
Babylone	Babylone	32.541780555556,44.431644444444	https://www.wikidata.org/wiki/Q5684	NER				
Barville	Barville			NER				
Bazilette	Bazilette			NER				
Belosane	Belosane			NER				
Célimene				NER				
Couvent	couvent		https://www.wikidata.org/wiki/Q1128397	NER				
Desglands	Desglands			NER				
Dubois	Dubois			NER				
Erford	Erford		https://www.wikidata.org/wiki/Q36858333	NER				
État	État		https://www.wikidata.org/wiki/Q7275	NER				
Euphrosie	Euphrosie			NER				
Europe	Europe	48.690959,9.14062	https://www.wikidata.org/wiki/Q46	NER				
Fleur-De-Myrte	Fleur-De-Myrte			NER				
Florizene	Florizene			NER				
Florizene	Florizene			NER				
Français	Français			NER				
Franval	Franval			NER				
Frivolipolis	Frivolipolis			NER				
Gange	Gange	22.0833,90.8333	https://www.wikidata.org/wiki/Q5089	NER				
Golconde	Golconde			NER				
Grèce	Grèce	38.5,23	https://www.wikidata.org/wiki/Q41	NER				
Kermouth	Kermouth			NER				
Lamontette	Lamontette			NER				
Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	NER				
Luzan	Luzan			NER				
Marville	Marville	49.452222222222,5.4558333333333	https://www.wikidata.org/wiki/Q59176	NER				
Mondelis	Mondelis			NER				
Mortagne	Mortagne			NER				
Nancy	Nancy	48.692777777778,6.1836111111111	https://www.wikidata.org/wiki/Q40898	NER				
Nassès	Nassès			NER				
