,LOC,PER
Jacquin_Parisiennes.txt,"[(('Barville', 385), 53), (('Hortence', 385), 50), (('Paris', 385), 24), (('etamp', 385), 22), (('Amour', 385), 19)]","[(('Monsieur', 4317129024397789502), 144), (('Madame de Rougeon', 4317129024397789502), 89), (('Mademoiselle de Rougeon', 4317129024397789502), 45), (('Madame', 4317129024397789502), 22), ((""Mademoiselle d'Auraigniac"", 4317129024397789502), 21)]"
Nerciat_Aphrodites.txt,"[(('Durut', 385), 139), (('Célestine', 385), 132), (('Paris', 385), 59), (('Valcreux', 385), 44), (('Baronnet', 385), 33)]","[(('Comte', 4317129024397789502), 173), (('Madame', 4317129024397789502), 69), (('Monsieur', 4317129024397789502), 64), (('Marquise', 4317129024397789502), 47), (('Zéphirine', 4317129024397789502), 47)]"
Nerciat_Etourdi.txt,"[(('Paris', 385), 10), (('Montpellier', 385), 6), (('Anglais', 385), 6), (('A', 385), 5), (('Despras', 385), 4)]","[(('Madame', 4317129024397789502), 23), (('Chevalier', 4317129024397789502), 21), (('Serfet', 4317129024397789502), 20), (('Cécile', 4317129024397789502), 20), (('Monsieur', 4317129024397789502), 19)]"
Diderot_Neveu.txt,"[(('LUI.---Et', 385), 11), (('LUI.---Mais', 385), 10), (('Paris', 385), 5), (('MOI.---À', 385), 5), (('Est', 385), 4)]","[(('Palissot', 4317129024397789502), 18), (('Rameau', 4317129024397789502), 16), (('Voltaire', 4317129024397789502), 10), (('Bouret', 4317129024397789502), 10), (('MOI.---Mais', 4317129024397789502), 8)]"
Voisenon_Histoire.txt,"[(('Alménidore', 385), 27), (('Célénie', 385), 13), (('Thémidore', 385), 8), (('Elmasie', 385), 6), (('Zélamire', 385), 4)]","[(('Thémidore', 4317129024397789502), 8), (('Zélamire', 4317129024397789502), 5), (('madame', 4317129024397789502), 4), (('Aldine', 4317129024397789502), 3), (('Alménidore', 4317129024397789502), 3)]"
Genlis_Adele.txt,"[(('Paris', 385), 143), (('Lagaraye', 385), 58), (('Rome', 385), 44), (('Dainville', 385), 33), (('Languedoc', 385), 29)]","[(('Adèle', 4317129024397789502), 603), (('Théodore', 4317129024397789502), 185), (('M', 4317129024397789502), 141), (('Cécile', 4317129024397789502), 124), ((""Madame D'Ostalis"", 4317129024397789502), 114)]"
Abbes_Voyage.txt,"[(('Palais', 385), 3), (('Vestibule', 385), 3), (('Anglois', 385), 2), (('Pays', 385), 1), (('Région', 385), 1)]","[(('Corneille', 4317129024397789502), 6), (('Monsieur', 4317129024397789502), 5), (('Racine', 4317129024397789502), 4), (('M.', 4317129024397789502), 3), (('Virgile', 4317129024397789502), 3)]"
Beaumont_Clarice.txt,"[(('Londres', 385), 51), (('Hariote', 385), 38), (('Angleterre', 385), 36), (('France', 385), 31), (('Bordeaux', 385), 27)]","[(('Milord', 4317129024397789502), 130), (('Clarice', 4317129024397789502), 111), (('Madame', 4317129024397789502), 79), (('Sir Derby', 4317129024397789502), 68), (('Ciel', 4317129024397789502), 62)]"
Voltaire_Homme.txt,"[(('État', 385), 30), (('Paris', 385), 22), ((""l'Europe"", 385), 11), (('Rome', 385), 7), (('la France', 385), 6)]","[(('M. André', 4317129024397789502), 17), (('M.', 4317129024397789502), 7), (('Hippocrate', 4317129024397789502), 6), (('Marc-Antonin', 4317129024397789502), 6), (('Henri IV', 4317129024397789502), 5)]"
Fourqueux_Zely.txt,"[(('Nassès', 385), 17), (('Vieillard', 385), 7), (('Ville', 385), 5), (('Vieille', 385), 5), (('Zemroud', 385), 4)]","[(('Zély', 4317129024397789502), 107), (('Nassès', 4317129024397789502), 44), (('Victorine', 4317129024397789502), 28), (('Amine', 4317129024397789502), 23), (('Philogène', 4317129024397789502), 17)]"
Mirabeau_Rideau.txt,"[(('Vernol', 385), 29), (('Lucette', 385), 23), (('volupté', 385), 6), (('Cher', 385), 3), (('Laure', 385), 3)]","[(('Justine', 4317129024397789502), 57), (('Rose', 4317129024397789502), 49), (('Vernol', 4317129024397789502), 47), (('Courbelon', 4317129024397789502), 44), (('Lucette', 4317129024397789502), 41)]"
Sade_Aline.txt,"[(('Paris', 385), 96), (('Zamé', 385), 92), (('Léonore', 385), 66), (('Déterville', 385), 62), (('Valcour', 385), 59)]","[(('Aline', 4317129024397789502), 255), (('madame de Blamont', 4317129024397789502), 156), (('Clémentine', 4317129024397789502), 134), (('Sophie', 4317129024397789502), 101), (('Madame de Blamont', 4317129024397789502), 70)]"
Lavaux_Eusebe.txt,"[(('Frivolipolis', 385), 10), (('Hiboumanes', 385), 5), (('Etat', 385), 5), (('Ursule', 385), 4), (('Roi des Emouchets', 385), 4)]","[(('Eusèbe', 4317129024397789502), 325), (('Monseigneur', 4317129024397789502), 50), (('Roi', 4317129024397789502), 40), (('Claude', 4317129024397789502), 19), (('Roi de Babimanie', 4317129024397789502), 17)]"
Crebillon_Conte.txt,"[(('Schah-Baham', 385), 48), (('Tout-Ou-Rien', 385), 42), (('état', 385), 40), (('Manzaïde', 385), 32), (('autruche', 385), 26)]","[(('Taciturne', 4317129024397789502), 243), (('Schézaddin', 4317129024397789502), 41), (('madame', 4317129024397789502), 26), ((""roi d' Isma"", 4317129024397789502), 19), (('Moslem', 4317129024397789502), 17)]"
Leonard_Clementine.txt,"[(('Trénel', 385), 3), (('allais', 385), 3), (('état', 385), 3), (('Murcé', 385), 2), (('Vante', 385), 1)]","[(('Henriette', 4317129024397789502), 39), (('Seligny', 4317129024397789502), 17), (('Norton', 4317129024397789502), 14), (('Madame De Berville', 4317129024397789502), 12), (('Emilie', 4317129024397789502), 10)]"
Berquin_Enfants.txt,"[(('S-Firmin', 385), 61), (('Fanchette', 385), 24), (('Saint-Firmin', 385), 19), (('Amand', 385), 8), (('Tenez', 385), 7)]","[(('Frédéric', 4317129024397789502), 120), (('Robert', 4317129024397789502), 86), (('Agathe', 4317129024397789502), 57), (('Charles', 4317129024397789502), 48), (('Sophie', 4317129024397789502), 48)]"
Retif_Paysan.txt,"[(('Ursule', 385), 127), (('Arras', 385), 105), (('Zéphire', 385), 104), (('Tiennete', 385), 99), (('M Parangon', 385), 91)]","[(('Edmond', 4317129024397789502), 505), (('Madame Parangon', 4317129024397789502), 259), (('Gaudet', 4317129024397789502), 132), (('Edmée', 4317129024397789502), 125), (('Mademoiselle Manon', 4317129024397789502), 95)]"
Cottin_Claire.txt,"[(('FRÉDÉRIC', 385), 5), (('Loire', 385), 4), (('Cher', 385), 2), (('Lyon', 385), 2), (('Paris', 385), 2)]","[(('Frédéric', 4317129024397789502), 244), (('Claire', 4317129024397789502), 150), (('Élise', 4317129024397789502), 80), ((""M. d'Albe"", 4317129024397789502), 73), (('Adèle', 4317129024397789502), 29)]"
Ducray_Cinquante.txt,"[(('Paris', 385), 86), (('Saint-Ange', 385), 81), (('Eranville', 385), 65), (('Briceval', 385), 61), (('Jeannette', 385), 34)]","[(('Jeannette', 4317129024397789502), 476), (('Cécile', 4317129024397789502), 227), (('Rosalie', 4317129024397789502), 72), (('M. de Verneuil', 4317129024397789502), 54), (('madame de Linval', 4317129024397789502), 43)]"
Laclos_Liaisons.txt,"[(('Paris', 385), 104), (('petite Volanges', 385), 26), (('Prévan', 385), 17), (('Opéra', 385), 14), (('Gercourt', 385), 12)]","[(('Monsieur', 4317129024397789502), 83), (('M. de Valmont', 4317129024397789502), 74), (('Madame', 4317129024397789502), 72), (('Vicomte de Valmont', 4317129024397789502), 47), (('Marquise de Merteuil', 4317129024397789502), 45)]"
Louvet_Annee.txt,"[(('Lodoïska', 385), 76), (('Adélaïde', 385), 32), (('Rosambert', 385), 24), (('Paris', 385), 23), (('Varsovie', 385), 22)]","[(('Justine', 4317129024397789502), 162), (('Sophie', 4317129024397789502), 106), (('Pulauski', 4317129024397789502), 98), (('Rosambert', 4317129024397789502), 86), (('Lovzinski', 4317129024397789502), 59)]"
Lesuire_Crime.txt,"[(('Paris', 385), 132), (('Dumoulin', 385), 63), (('Lyon', 385), 57), (('Couvent', 385), 48), (('Demoiselle', 385), 47)]","[(('Frédégonde', 4317129024397789502), 148), (('Monsieur', 4317129024397789502), 106), (('César de Perlencour', 4317129024397789502), 92), (('Levrette', 4317129024397789502), 68), (('César', 4317129024397789502), 57)]"
Voltaire_Princesse.txt,"[(('Babylone', 385), 77), (('Amazan', 385), 48), (('Égypte', 385), 33), (('Gangarides', 385), 20), (('Scythes', 385), 19)]","[(('Formosante', 4317129024397789502), 91), (('Bélus', 4317129024397789502), 18), (('Amazan', 4317129024397789502), 15), (('Apis', 4317129024397789502), 6), (('Isis', 4317129024397789502), 5)]"
Barthelemy_Voyage.txt,"[(('Grèce', 385), 440), (('Athènes', 385), 280), (('athéniens', 385), 206), (('Lacédémone', 385), 135), (('Sicile', 385), 104)]","[(('Philippe', 4317129024397789502), 183), (('Socrate', 4317129024397789502), 157), (('Platon', 4317129024397789502), 133), (('Euclide', 4317129024397789502), 117), (('Lycurgue', 4317129024397789502), 103)]"
Sade_Infortunes.txt,"[(('Dalville', 385), 27), (('Paris', 385), 25), (('providence', 385), 21), (('Lyon', 385), 19), (('Dubois', 385), 18)]","[(('Raphaël', 4317129024397789502), 42), (('Bressac', 4317129024397789502), 26), (('Mme de Lorsange', 4317129024397789502), 25), (('Sophie', 4317129024397789502), 25), (('Antonin', 4317129024397789502), 24)]"
