Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Nerciat_Aphrodites	79.22											 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 59	 Valcreux	 Valcreux				 44	 Baronnet	 Baronnet			 33
Nerciat_Etourdi	83.33	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 10 	 Montpellier	Montpellier	43.610919444444,3.8772305555556	https://www.wikidata.org/wiki/Q6441	 6	 Anglais	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 6								Despras		https://www.wikidata.org/wiki/Q63087559	
Diderot_Neveu	87.56											 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 5							 Est	 Est			 4
Voisenon_Histoire	90.47	Alménidore	Alménidore			 27 						 Thémidore	 Thémidore			 8	 Elmasie	 Elmasie				 6	 Zélamire	 Zélamire			 4
Genlis_Adele	94.8	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 143 	 Lagaraye	 Lagaraye			 58	 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 44	 Dainville	 Dainville				 33	 Languedoc	Languedoc	43.666666666667,3.1666666666667	https://www.wikidata.org/wiki/Q206221	 29
Abbes_Voyage	67.39	Palais	palais		https://www.wikidata.org/wiki/Q16560	 3 	 Vestibule	vestibule		https://www.wikidata.org/wiki/Q301276	 3	 Anglois	 Anglois			 2	 Pays	pays			https://www.wikidata.org/wiki/Q6256	 1	 Région	zone géographique		https://www.wikidata.org/wiki/Q82794	 1
Beaumont_Clarice	61.12	Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 51 	 Hariote	 Hariote			 38	 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 36	 France	France	47,2	47,2	https://www.wikidata.org/wiki/Q142	 31	 Bordeaux	Bordeaux	44.837777777778,-0.57944444444444	https://www.wikidata.org/wiki/Q1479	 27
Voltaire_Homme	77.50	État	État		https://www.wikidata.org/wiki/Q7275	 30 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 22	" ""lEurope"""	Europe	48.690959,9.14062	https://www.wikidata.org/wiki/Q46	 11	 Rome	Rome	41.893055555556,12.482777777778	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 7	 la France	France	47,2	https://www.wikidata.org/wiki/Q142	 6
Fourqueux_Zely	84.43	Nassès	Nassès			 17 						 Ville	ville		https://www.wikidata.org/wiki/Q515	 5											
Mirabeau_Rideau	71.36	Vernol	Vernol			 29 																					
