Column 1	bgrf	LOC1	Wikidata Label fr	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	URL5	Quantity LOC5
Loaisel_Lucile	97.22					 Saint-Flour	 Saint-Flour		 14	 Milcourt	 Milcourt		 7	 Saint - Flour	 Saint - Flour		 5	 Alibre	 Alibre		 3
Marmontel_Belisaire	98.38	Tibére	Tibéré	https://www.wikidata.org/wiki/Q23663811	 77 	 état	État	https://www.wikidata.org/wiki/Q7275	 40	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 23	" ""l empire"""	" ""l empire"""		 18	 Italie	 Italie		 17
Riccoboni_MylordRivers	86.32	Belosane	Belosane		 62 	 Londres	Londres	https://www.wikidata.org/wiki/Q84	 37	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 23	 Layrac	 Layrac		 14	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 11
Marmontel_Contes	72.19	Verglan	Verglan		 34 	 Corée	Corée	https://www.wikidata.org/wiki/Q18097	 22					 Timante	 Timante		 21	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 20
Tiphaigne_Galligenes	71.25	etamp	etamp		 103 	 Galligènes	 Galligènes		 90	 Almont	 Almont		 72	 République	république	https://www.wikidata.org/wiki/Q7270	 51	 Alcine	 Alcine		 38
Diderot_Supplement	61.R19	Taïtiens	Tahiti	https://www.wikidata.org/wiki/Q42000	 13 	 le Taïtien	 le Taïtien		 8	 Bougainville	 Bougainville		 5	 Taïti	Tahiti	https://www.wikidata.org/wiki/Q42000	 5				
Beckford_Vathek	99.76	Nouronihar	Nouronihar		 40 	 Gulchenrouz	 Gulchenrouz		 21	 Morakanabad	 Morakanabad		 18	 Samarah	Samarah	https://www.wikidata.org/wiki/Q20306954	 13	 Fakreddin	 Fakreddin		 13
Prevost_Monde	66.21	Vienne	Vienne	https://www.wikidata.org/wiki/Q1741	 45 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 43	 Hongrie	Hongrie	https://www.wikidata.org/wiki/Q28	 35	 Tergowitz	 Tergowitz		 24				
Florian_Galatee	65.21	Artidore	Artidore		 38 	 Téolinde	 Téolinde		 33	 Mœris	 Mœris		 29	 Nisida	Nisida	https://www.wikidata.org/wiki/Q1192720	 19	 Florise	 Florise		 16
Charriere_Lausanne	98.41	Londres	Londres	https://www.wikidata.org/wiki/Q84	 28 					 Bath	Bath	https://www.wikidata.org/wiki/Q22889	 16	 Lausanne	Lausanne	https://www.wikidata.org/wiki/Q807	 15	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 10
Sade_Philosophie	88.53					 État	État	https://www.wikidata.org/wiki/Q7275	 15	 Saint-Ange	 Saint-Ange		 12	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 11				
