filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	title_wikidata	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_date	resp_datacapture	resp_encoding
Blanchard_Philetas	Pierre Blanchard	1772	1856	Philétas	M	1800	1800	autodiegetic	historical	semi-automatic transcription	27279	NA	short	00.50	Q21416437	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://books.google.de/books?id=G-UFAAAAQAAJ	NA	NA	Philétas, roman pastoral, par Pierre Blanchard.	Pierre Blanchard	Paris	1800	googlebooks	Johanna Konstanciak
Boismortier_Histoire	Suzanne Bodin de Boismortier	1722	1799	Histoire de Jacques Féru	F	1766	1766	homodiegetic	historical	semi-automatic transcription	7294	NA	short	66.12	Q3505914	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Histoire de Jacques Seru et de valeureuse demoiselle Agathe Mignard ;                        écrite par un ami d'iceux avec des airs notés	https://gallica.bnf.fr/ark:/12148/bpt6k63560161	Bibliothèque national de France	2012	Histoire de Jacques Feru, et de valeureuse Damoiselle Agathe Mignard;                        Ecrite par un Ami d'iceux.	NA	La Haye	1766	gallica	Johanna Konstanciak
Boufflers_Reine	Stanislas de Boufflers	1738	1815	La Reine de Golgonde	M	1760	1761	autodiegetic	modern	semi-automatic transcription	4444	NA	short	61.6	Q918355	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.frantext.fr/	NA	NA	NA	NA	NA	1761	frantext	Johanna Konstanciak
Brument_Henriette	Brument	NA	NA	Henriette de Wolmar	U	1768	1768	heterodiegetic	historical	semi-automatic transcription	20728	NA	short	68.17	0	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Henriette De Wolmar, Ou la Mere Jalouse De Sa Fille Histoire Veritable ;                        Pour servir de suite à la Nouvelle Héloise par J. J. R.	https://opendata.uni-halle.de//handle/1981185920/44901	NA	NA	Henriette de Wolmar, ou la mere jalouse de sa fille, histoire veritable,                        Pour servir de suite à la Nouvelle Héloïse, Par J. J. R.	NA	Geneve	1768	Universitäts- und Landesbibliothek Sachsen-Anhalt	Johanna Konstanciak
CastilhonJL_Zingha	Jean-Louis Castilhon	1721	1798	Zingha, reine d'Angola	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	42489	NA	short	69.23	Q3166691	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://gallica.bnf.fr/ark:/12148/bpt6k85830z	NA	NA	Zingha, reine d'Angola. Histoire Africaine, en deux parties.	Jean-Louis Castilhon	Paris	1769	gallica	Johanna Konstanciak
CastilhonJ_Robert	Jean Castilhon	1720	1799	Histoire de Robert le Diable, duc de Normandie; et de Richard sans peur, son fils	M	1769	1769	heterodiegetic	modern	semi-automatic transcription	56536	NA	medium	69.22	Q2363786	0	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://intertextual-hub.uchicago.edu/philologic/hub18thcfrench/navigate/517/	NA	NA	Histoire de Robert le Diable, Duc de Normandie ; et de Richard Sans Peur, son fils	Jean Castilhon	Paris	1769	Hub18cFrench	NA
Cazotte_Diable	Jacques Cazotte	1719	1792	Le Diable amoureux	M	1772	1871	autodiegetic	modern	semi-automatic transcription	26069	NA	short	72.17	Q425373	Q1994609	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://fr.wikisource.org/wiki/Le_Diable_amoureux	NA	NA	Le Diable amoureux	Jacques Cazotte	Paris	1871	Wikisource contributors	Amelie Probst
Cazotte_Honneur	Jacques Cazotte	1719	1792	L'Honneur perdu et recouvré	M	1788	1817	heterodiegetic	modern	semi-automatic transcription	14964	NA	short	88.41	Q425373	NA	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	NA	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.frantext.fr/	NA	NA	L'Honneur perdu et recouvré	Jacques Cazotte	NA	1817	frantext	Johanna Konstanciak
Cazotte_Ollivier	Jacques Cazotte	1719	1792	Ollivier	M	1763	1817	heterodiegetic	historical	semi-automatic transcription	59530	NA	medium	63.19	Q425373	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://www.frantext.fr/	NA	NA	Ollivier	Jacques Cazotte	NA	1817	frantext	Amelie Probst
Charriere_Caliste	Isabelle de Charrière	1740	1805	Caliste ou continuation des Lettres écrites de Lausanne	F	1787	1787	mixed	modern	semi-automatic transcription	29960	NA	short	87.30	Q123386	NA	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18		https://creativecommons.org/publicdomain/zero/1.0/deed.en	NA	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	NA	NA	Caliste ou Lettres écrites de Lausanne	Isabelle de Charrière	NA	1787	unknown	Amelie Probst
