,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
zeinzemin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
mirzoza,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
gil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
voudrois,0,2,5,1,6,6,0,0,19,30,0,0,0,0,0,6,0,0,0,0,0,5,3,0,0,3,2,2,4,0,3,9,0,17,0,5,10,2,2,3,2,0,5,0,0,0,3,1,2,0,0,16,16,0,0,0,0,0,1,0,0,0,191
maniere,0,6,2,1,6,6,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,5,1,0,0,1,24,21,0,0,0,1,2,0,12,0,2,0,12,1,0,1,0,29,0,8,2,8,4,0,0,5,0,0,0,0,0,14,6,0,0,189
mouvemens,1,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2,4,3,8,8,1,0,20,11,10,0,0,0,4,4,2,0,4,10,19,9,0,10,2,10,14,3,0,3,3,0,0,0,0,2,2,0,0,186
célestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
amans,0,5,1,0,0,3,0,0,0,2,0,0,0,0,0,2,14,3,0,0,0,14,0,3,1,8,4,3,7,1,1,7,3,6,0,0,0,10,10,1,0,3,23,5,4,0,0,0,0,2,8,0,0,19,0,0,0,0,3,7,0,0,183
bonaventuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
avois,2,5,3,0,7,2,0,0,8,11,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,9,4,10,11,0,3,38,5,6,0,11,7,0,0,4,1,0,2,1,0,0,9,1,0,2,0,4,3,0,0,0,0,0,0,0,0,0,180
momens,1,5,7,0,0,3,0,0,10,9,0,0,0,0,0,2,1,3,0,0,0,2,0,8,0,14,5,8,9,3,3,11,2,7,0,1,2,3,3,4,0,7,0,4,11,0,12,6,1,3,2,0,3,1,0,0,0,0,0,0,0,0,176
agathe,0,0,0,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,0,3,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
silvain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
foiblesse,1,0,4,0,10,7,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,5,3,2,6,0,16,20,6,13,0,4,1,14,14,3,0,0,5,2,0,0,8,1,2,4,0,0,3,1,0,0,0,0,3,2,0,0,173
némorin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
estelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
desirs,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,2,3,8,3,0,0,5,20,11,3,11,17,7,0,1,3,3,3,6,11,1,2,0,3,0,2,0,1,0,0,0,3,5,0,0,0,0,8,3,0,0,171
voulois,0,10,1,0,1,3,0,0,13,22,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,8,2,4,5,0,2,23,0,9,0,8,13,1,1,2,2,0,1,0,0,0,5,1,0,0,0,5,14,1,0,0,0,0,0,2,0,0,171
donnoit,1,13,1,2,2,1,0,0,4,5,0,0,0,0,0,9,3,0,0,0,0,5,3,0,0,5,3,6,5,0,7,20,5,3,0,10,4,7,7,0,4,0,3,0,0,0,10,2,4,3,0,1,5,0,0,0,0,0,3,4,0,0,170
sélim,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
rougeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
connois,0,2,8,0,3,8,0,0,5,5,0,0,0,0,0,3,1,0,0,0,0,6,2,0,1,8,3,3,3,0,7,15,0,6,0,5,15,0,0,7,5,0,1,3,0,0,9,2,0,1,0,11,20,0,0,0,0,0,0,0,0,0,168
françois,3,5,3,0,1,1,1,0,0,1,0,2,0,1,0,1,0,1,35,0,0,16,7,0,1,0,2,2,0,0,0,6,0,0,4,11,7,1,1,10,0,3,2,0,1,0,1,0,0,0,0,6,13,0,1,1,0,0,11,1,1,0,164
nevers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
frere,0,17,4,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,4,0,7,19,0,0,0,0,8,0,43,0,3,0,4,0,0,11,4,9,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0,0,162
fermon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
croyois,1,2,4,0,5,2,0,0,4,5,0,0,0,0,0,5,0,0,0,0,0,1,3,0,0,11,2,5,2,0,6,38,9,10,0,11,13,1,1,1,1,0,3,0,0,0,8,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,161
sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
desir,0,0,4,1,5,14,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,3,2,8,2,0,0,4,5,5,1,6,7,5,0,1,2,7,6,3,4,0,0,0,14,0,1,0,2,0,0,0,1,2,0,0,0,0,7,21,0,0,156
faisoient,1,0,2,0,1,1,0,0,6,4,0,0,0,0,0,2,8,0,0,0,0,3,4,0,0,9,3,9,4,0,4,12,5,2,0,5,7,9,9,1,1,0,8,10,0,0,5,3,2,2,0,1,7,2,0,0,0,0,2,1,0,0,155
scipion,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
voyois,1,6,6,0,1,0,0,0,7,2,0,0,0,0,0,9,0,0,0,0,0,2,3,0,0,3,6,3,1,0,1,13,3,9,0,16,15,0,0,1,0,0,0,1,0,0,18,4,0,0,1,2,8,0,0,0,0,0,1,0,0,0,143
voyoit,1,1,1,1,0,4,0,0,2,4,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,1,0,6,4,0,13,9,2,2,0,10,2,6,6,7,1,0,4,8,0,0,6,2,3,4,0,5,8,2,0,0,0,0,3,5,0,0,143
zély,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
pourrois,1,4,6,0,10,3,0,0,4,7,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,1,2,2,8,0,7,16,1,5,0,10,5,3,1,9,4,0,5,3,0,0,5,3,0,2,0,3,1,0,0,0,0,0,2,1,0,0,141
j'allois,2,6,5,0,1,1,0,0,6,3,0,0,0,0,0,7,0,0,0,0,0,4,3,0,0,6,4,11,13,0,0,18,2,10,0,11,3,0,0,0,1,0,4,3,0,0,9,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,140
sçais,0,0,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,11,3,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,4,0,0,0,0,2,0,0,0,0,2,2,0,0,140
adélaïde,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,140
diaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
devois,0,16,4,0,0,1,0,0,5,5,0,0,0,0,0,10,0,0,0,0,0,2,1,0,0,7,6,7,7,0,0,35,0,2,0,5,9,1,1,0,0,0,1,0,0,0,4,2,1,1,0,0,5,0,0,0,0,0,1,0,0,0,139
d'eranville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
reconnoître,1,1,1,0,0,1,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,2,5,0,0,4,9,3,8,0,1,16,0,1,0,12,7,2,2,1,3,0,10,9,0,0,11,7,6,3,0,0,1,0,0,0,0,0,1,1,0,0,138
talens,2,0,4,0,0,3,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,5,0,2,2,1,3,5,2,1,4,10,1,0,0,1,6,3,3,3,0,7,2,3,6,0,1,0,16,8,4,3,4,3,0,0,0,0,1,3,0,0,135
henri,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,2,0,1,0,0,89,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6,2,134
caractere,0,3,10,0,7,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,0,2,21,13,0,0,1,15,3,0,4,0,6,0,1,6,0,0,0,9,0,1,0,6,2,0,0,1,0,0,0,0,0,1,6,0,0,134
jetter,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,1,2,1,6,6,6,0,0,10,3,5,0,3,0,5,5,3,0,1,2,2,13,0,10,6,2,1,16,0,0,1,0,0,0,0,5,1,0,0,132
londres,0,0,6,0,1,0,2,0,0,1,1,1,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,19,49,0,2,16,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,132
monrose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
voudroit,1,2,5,0,3,9,0,0,6,7,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,1,5,0,1,2,14,13,1,2,0,1,5,0,0,1,0,1,0,0,17,15,4,0,0,0,0,4,1,0,0,130
espece,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,2,3,0,0,1,5,3,0,0,0,27,1,0,10,0,4,0,8,0,0,0,0,21,0,8,2,4,1,0,1,5,0,0,0,0,0,0,3,0,0,130
ames,0,0,4,0,1,4,0,0,5,1,0,0,0,0,0,7,1,2,0,0,0,5,3,0,0,8,2,2,5,2,2,2,0,3,0,0,0,8,7,1,6,0,10,6,3,0,5,2,2,6,1,0,2,2,0,0,0,0,2,8,0,0,130
dupuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
pommeraye,0,0,0,0,0,0,0,0,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
alphonse,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
différens,4,6,0,0,0,3,0,0,5,3,0,0,0,0,0,4,2,0,0,0,0,3,0,1,0,6,6,6,1,0,3,11,2,3,0,1,6,1,1,2,0,0,5,13,5,0,0,0,0,0,3,11,2,0,0,0,0,0,6,2,0,0,127
pû,1,5,0,0,2,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,1,1,1,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,1,3,0,0,0,0,0,0,0,0,0,2,0,0,126
seroient,1,0,6,0,2,1,0,0,4,1,0,0,0,0,0,4,2,0,0,0,0,3,2,0,0,4,3,3,4,0,0,9,2,4,0,2,2,2,2,9,0,0,2,6,0,0,6,2,3,4,0,5,20,1,0,0,0,0,3,2,0,0,126
milcourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
trouvoit,1,3,2,1,1,2,0,0,0,3,0,0,0,0,0,5,6,0,0,0,0,3,2,0,0,7,1,8,4,0,11,13,1,2,0,10,5,2,2,5,3,0,1,0,0,0,3,2,2,0,0,1,5,0,0,0,0,0,7,2,0,0,126
habitans,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,4,0,0,0,9,0,3,0,1,1,0,1,0,2,7,0,1,0,0,1,0,0,3,0,1,17,40,1,0,3,2,4,3,5,0,1,2,0,0,0,0,4,2,0,0,124
feroit,0,8,2,0,8,4,0,0,3,7,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,6,2,4,2,0,9,16,0,3,0,4,5,0,0,1,1,0,1,1,0,0,2,1,1,1,0,7,13,0,0,0,0,0,2,2,0,0,124
galatée,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122
n'auroit,1,3,4,0,10,3,0,0,0,4,0,0,0,0,0,5,2,0,0,0,0,3,0,0,0,10,4,4,6,0,4,7,1,1,0,3,4,2,2,3,3,0,2,0,0,0,3,1,3,2,0,11,7,0,0,0,0,0,2,1,0,0,121
pouvoient,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,1,4,0,0,0,0,3,2,0,0,5,2,3,1,0,6,17,8,3,0,6,2,1,1,4,0,0,0,7,0,0,3,0,2,4,0,1,14,0,0,0,0,0,4,6,0,0,120
m'étois,0,6,0,1,2,1,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,7,9,8,4,0,2,32,2,3,0,9,0,1,1,1,0,0,1,0,0,0,2,0,2,0,0,2,6,0,0,0,0,0,1,0,0,0,118
mirfor,0,0,0,0,0,0,0,0,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
n'étoient,1,4,2,2,1,1,0,0,2,1,0,0,0,0,0,5,2,0,0,0,0,2,3,0,0,3,0,3,2,0,3,12,5,1,0,1,3,4,4,2,2,0,9,4,0,0,5,4,1,3,0,0,10,3,0,0,0,0,3,3,0,0,116
disois,1,0,2,0,0,3,0,0,5,9,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,6,2,0,1,0,1,23,0,8,0,12,5,0,0,2,4,0,0,0,0,0,6,2,1,0,0,2,11,0,0,0,0,0,1,0,0,0,115
d'olonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
beauregard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
suzanne,0,0,0,0,0,0,0,0,0,0,0,13,0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,114
raphaël,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,114
duncan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,48,0,0,112
parloit,2,1,1,0,0,0,0,0,6,14,0,0,0,0,0,2,2,0,0,0,0,6,4,0,0,5,1,2,3,0,4,7,4,4,0,9,3,0,0,3,2,0,2,1,0,0,5,3,2,3,0,1,7,0,0,0,0,0,1,2,0,0,112
faisois,1,0,5,0,0,1,0,0,5,4,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,10,12,6,8,0,0,13,1,2,0,4,4,0,0,0,0,0,2,2,0,0,5,3,0,1,0,0,7,0,0,0,0,0,1,0,0,0,112
foibles,0,3,2,0,5,2,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,3,2,0,0,1,3,1,2,0,2,0,5,5,2,1,0,15,22,0,0,3,2,4,2,0,4,3,3,0,0,0,0,0,5,0,0,111
vîte,0,2,4,0,0,5,0,0,10,13,0,0,0,0,0,0,1,3,0,0,0,7,3,1,4,0,0,4,4,1,1,0,0,2,0,7,8,2,2,3,3,2,0,0,15,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,111
sçavoir,2,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,7,10,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,110
m'étoit,0,1,3,0,3,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,7,5,4,7,0,1,35,4,2,0,5,1,0,0,0,0,0,2,0,0,0,8,3,1,0,0,1,7,0,0,0,0,0,0,0,0,0,110
tourmens,1,0,18,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,1,3,1,0,1,3,0,3,1,4,0,0,1,9,8,5,0,0,3,6,1,0,12,4,1,1,3,0,4,3,0,0,0,0,0,0,0,0,110
derniere,0,3,7,0,8,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,4,3,1,0,10,9,2,0,0,0,2,4,0,3,0,7,0,7,2,0,1,0,14,0,4,3,1,4,0,0,0,0,0,0,0,0,3,2,0,0,110
connoît,0,1,8,0,7,3,0,0,1,5,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,4,3,3,3,0,4,10,0,2,0,2,7,6,7,1,1,0,0,0,0,0,5,0,2,1,0,6,1,1,0,0,0,0,3,3,0,0,109
louise,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,108
émile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,38,0,0,0,0,0,0,0,0,0,108
formosante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107
joye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,14,8,22,29,0,0,0,0,0,0,0,0,0,0,0,106
l'europe,0,1,0,0,0,1,22,0,0,0,1,1,1,2,1,0,0,1,8,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,5,0,2,0,0,5,1,2,0,0,0,1,3,10,0,0,0,1,6,0,0,12,6,105
enneric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
lumiere,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,0,0,4,5,0,0,0,0,0,7,0,6,0,10,0,1,2,0,0,0,6,0,20,5,10,12,0,0,1,0,0,0,0,0,2,2,0,0,105
dubois,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,71,0,0,0,0,0,105
dona,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
daïra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
santillane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
lucrèce,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,103
lyon,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,6,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,27,0,0,0,1,0,102
instans,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,2,1,0,2,0,0,5,3,4,0,0,0,8,7,0,0,1,8,3,16,0,0,0,5,2,12,0,0,0,0,0,0,0,0,0,0,0,101
fernand,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
raimond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
croyoit,0,0,4,0,3,0,0,0,3,3,0,0,0,0,0,11,3,0,0,0,0,3,1,0,0,4,1,3,2,0,8,14,3,1,0,4,3,2,2,1,0,0,4,3,0,0,1,1,0,1,0,3,3,2,0,0,0,0,2,0,0,0,99
beaubourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
sentois,1,0,1,0,0,0,0,0,5,6,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,2,3,2,0,0,23,8,7,0,6,9,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,98
trouvois,1,5,0,0,1,1,0,0,3,2,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,6,2,5,5,0,2,27,2,4,0,10,4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,97
