,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
disoit,2,0,7,0,4,8,0,0,6,20,0,0,0,0,0,12,1,0,0,0,0,6,7,0,0,6,7,9,10,0,18,41,5,12,0,21,15,32,32,0,7,0,12,3,0,0,8,4,3,3,0,12,13,1,0,0,0,0,11,6,0,0,364
s'étoit,1,8,5,0,4,2,0,0,4,10,0,0,0,0,0,2,2,0,0,0,0,9,9,0,0,12,12,17,14,0,30,52,10,4,0,19,4,11,11,6,4,0,16,12,0,0,13,8,4,6,0,3,17,4,0,0,0,0,8,6,0,0,359
devoit,0,9,13,4,5,7,0,0,10,11,0,0,0,0,0,13,5,0,0,0,0,10,11,0,0,10,4,12,12,0,13,68,1,1,0,18,14,10,10,5,0,0,2,3,0,0,14,8,4,4,1,9,18,1,0,0,0,0,7,3,0,0,350
curval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,340
dolmancé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,339
venoit,1,11,16,1,2,2,0,0,7,12,0,0,0,0,0,12,7,0,0,0,0,6,10,0,0,17,12,10,12,0,23,47,3,6,0,12,6,11,11,3,4,0,9,7,0,0,7,4,0,9,0,6,8,2,0,0,0,1,4,3,0,0,324
pourroit,1,8,17,0,13,10,0,0,13,6,0,0,0,0,0,5,4,0,0,0,0,3,2,1,0,7,11,8,10,0,8,38,11,4,0,13,7,1,1,22,2,0,5,10,0,0,7,2,14,8,0,19,14,0,0,0,0,0,4,6,0,0,315
mangogul,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
france,1,8,4,1,0,2,42,26,0,3,6,1,1,4,1,5,0,3,26,4,1,20,0,0,2,0,0,0,6,0,12,7,0,0,2,5,9,1,1,4,0,3,1,0,6,3,2,0,0,0,12,3,7,0,12,12,15,8,4,1,13,0,310
grace,3,6,8,0,0,7,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,15,1,2,9,12,10,5,7,6,10,12,6,15,0,23,23,2,2,8,9,1,8,2,37,0,9,5,2,2,13,0,4,1,0,0,0,0,1,2,0,0,300
