PER;LOC;PER but no NE;LOC but no NE;No NE (PER);No NE (LOC);Categorised PER, is LOC;Categorised LOC, is PER;Categorised PER, is LOC (no NE);Categorised LOC, is PER (no NE)
M. de Serville;Metz;;;;;;;;
Madame de Serville;Montargis;;;;;;;;
M. de Rénant;Louis-le-Gros;;;;;;;;
M. Dallain;Bethzamooth;;;;;;;;
Eugénie;Saint-Sulpice;;;;;;;;
Madame De V;galbanum;;;;;;;;
Marquis De R;Comédie-Française;;;;;;;;
Madame De V.;Babylone;;;;;;;;
Comte De P.;;;Providence;;;;;;
Comte De P. \noui;;;Labirinthe;;;;;;
M Caswel;Moulins;;;;;;;;
Comte De;Jardin du Roi;;;;;;;;
M De B;;;;;;;Cerbere;;
Créateur;;;;;D;;;;
Louis XV;;;Cieux;;;;;;
Henri IV;;;Terre;;;;;;
Alvare;;;Mer;;;;;;
Soberano;Cirano;;;;;;;;
Marcos;Lune;;;;;;;;
Carle;;;;;;;;;
;;;;Che vuoi;;;Démogorgon;;
doña Mencia;Mars;;;;;;;;
Fiorentina;Mercure;;;;;;;;
Berthe;Mérida;;;;;;;;
Bernadillo;Bérénice;;;;;;;;
Tarquin;Cielvare;;;;;;;;
Jesus;;;;;B;;;;
Romulus;Loix;;;;;;;;
Plutarque;Bramin;;;;;;;;
Descartes;Nitri;;;;;;;;
Moyse;Rétif;;;;;;;;
saint Augustin;Bourgogne;;;;;;;;
Ciceron;Noyers;;;;;;;;
Newton;Tonnerre;;;;;;;;
Gerard;Puits-de-bond;;;;;;;;
Euglantine;la Terre;;;;;;;;
Liziard;boëte;;;;;;;;
Milon;Soleil;;;;;;;;
duc de Metz;Terres;;;;;;;;
Alfrède;Venus;;;;;;;;
Meliatir;Aiglemont;;;;;;;;
madame Gondrée;Saint-Lubin;;;;;;;;
M. de Saint-Ognon;Saint-Amand;;;;;;;;
Mme de Bethzamooth;Floricourt;;;;;;;;
Jacob;Aspergue;;;;;;;;
Robert;;;;;Anglais;;;;
Mlle Daniel;Moisimont;;;;;;;;
marquis de Vaucluse;Rosbel;;;;;;;;
David;St. Georges;;;;;;;;
Terrasse;Soudris;;;;;;;;
;;Poëte;Province;;;;;;
Montons;Trenel;;;;;;;;
Pie;la Capitale;;;;;;;;
;Euphrosie;Abbé;;;;;;;
Morale;Branlinos;;;;;;;;
;Foutre;;;regaler;;;;;
Dom Quichottes;Pardieu;;;;;;;;
;;;;Printems;Tout-à-coup;;;;
Damon;;;;;Sacredieu;;;;
Platon;;;;;Américaine;;;;
Aristote;Vergi;;;;;;;;
Dialogues;Canaples;;;;;;;;
Pythagore;;;;;temoin;;;;
Phidias;;;;;Arrêtez;;;;
Zeuxis;;;;;désavouai;;;;
Mars;Maugiron;;;;;;;;
Saturne;Amboise;;;;;;;;
Démiourgos;Lamontette;;;;;;;;
Socrate;palais-royal;;;;;;;;
Titus;Virginie;;;;;;;;
Dom César;;;;;Las;;;;
Dom Alphonse;saint-Louis;;;;;;;;
Ferdinand;Anvers;;;;;;;;
Dom Salviati;Durut;;;;;;;;
Reine;Limecœur;;;;;;;;
Dom Diégue;Belamour;;;;;;;;
Edme R.;Célestine;;;;;;;;
Saci;Fessange;;;;;;;;
Bibi;Baronnet;;;;;;;;
Anne Simon;Eulalie;;;;;;;;
M. Pombelins;Limefort;;;;;;;;
Rose;Syndham;;;;;;;;
M. Molé;Aylsham;;;;;;;;
;;;;R.;Bell;;;;
Amilec;Cher Syndham;;;;;;;;
;;;;Génies;commettrai;;;;
Illustre Amilec;;;;;souillerai;;;;
;Norwich;Physicien;;;;;;;
;Colincourt;Auteur;;;;;;;
;St.-Firmin;Médecin;;;;;;;
;Florimont;;;Vois-tu;;;;;
Seigneur Amilec;Soissons;;;;;;;;
Monrose;Villejuif;;;;;;;;
Mimi;Barjac;;;;;;;;
Lebrun;Berlin;;;;;;;;
Armande;;;;;Vieille;;;;
Nicette;;;Ville;;;;;;
miss Charlotte;Zemroud;;;;;;;;
Sidney;;;la Ville;;;;;;
Sylvina;;;;;Nassès;;;;
;Cadi;Comte;;;;;;;
Marquise;Appartement de la Belle;;;;;;;;
Cecile;palais de la Bête;;;;;;;;
Madame de Lorevel;Caroline;;;;;;;;
Jeannot;Belleval;;;;;;;;
;;LA MARQUISE;;;;;Nulsifrote;;
Mesdames;Avignon;;;;;;;;
Toinette;Gênes;;;;;;;;
Agnès;;;;;Principal;;;;
Satan;Toulon;;;;;;;;
Pardieu;Rotondi;;;;;;;;
Madame De Canaples;Bas-Breton;;;;;;;;
Mademoiselle De Foix;Charenton;;;;;;;;
Monsieur De Canaples;Rennes;;;;;;;;
Madame De Clerval;Bretagne;;;;;;;;
Madame De Saintré;États de Bretagne;;;;;;;;
De Canaples;Kinglin;;;;;;;;
Derville;Célimene;;;;;;;;
Madame De Remicourt;Araminte;;;;;;;;
Madame De Vergi;Belise;;;;;;;;
Sara;Luscinde;;;;;;;;
Florimond;;;;;robe-de-chambre;;;;
Lamontette;;;;;;;;;Amant
Delarbre;Cléon;;;;;;;;
Mme Debée;;;;;consentirai;;;;
De Lamontette;Domingue;;;;;;;;
M De Vesgou;Port-Louis;;;;;;;;
Ma mère;Indes;;;;;;;;
M Dumont;Saint-Géran;;;;;;;;
M De Florimond;Longchamp;;;;;;;;
Celestine;Sainte-Thérèse;;;;;;;;
La Comtesse;Sainte-Suzanne;;;;;;;;
Sir Henri;Sainte-Marie;;;;;;;;
Le Marquis;Arpajon;;;;;;;;
La Duchesse;Celles;;;;;;;;
Bell;Dulis;;;;;;;;
Simpson;;;;;;;;;Mere
Cécile;;;;;;;;;Domestiques
Richard;Broncourt;;;;;;;;
mylord Daramby;;;;;JE;;;;
Daramby;Milan;;;;;;;;
Tom;;;;;Capucins;;;;
lord Daramby;Déra;;;;;;;;
Félicité;Adaté;;;;;;;;
Théodore;Roume;;;;;;;;
Jeannette;Portugais;;;;;;;;
madame D;Lisbonne;;;;;;;;
;Albuquerque;Ange;;;;;;;
Madame de Senneville;Gulchenrouz;;;;;;;;
Vicomte;Morakanabad;;;;;;;;
Coraly;Samarah;;;;;;;;
Le Vicomte;Fakreddin;;;;;;;;
M. de Barjac;Suleïman;;;;;;;;
Elmire;;;;;giaour;;;;
;Sutlemémé;Marquis;;;;;;;
;Dilara;Duc;;;;;;;
Vicomte de Barjac;Giamchid;;;;;;;;
Zély;Perse;;;;;;;;
Nassès;Ispahan;;;;;;;;
Victorine;Sorane;;;;;;;;
Amine;Crantor;;;;;;;;
Philogène;Perses;;;;;;;;
;;Epoux;Royaume;;;;;;
;;;;Raison;;;;;Persans
Zima;Siciniens;;;;;;;;
;;;;Bête;Laquais;;;;
;;;College;nétoyer;;;;;
madame la Fée;;;Appartement;;;;;;
;;Monseigneur;Théâtre;;;;;;
;Zamé;;;Oh dame;;;;;
Paulin;Valcour;;;;;;;;
Walter;Sainville;;;;;;;;
Nulsifrote;Blamont;;;;;;;;
Valter;Déterville;;;;;;;;
Buoani;Vertfeuille;;;;;;;;
maréchal de France;;;Châtelet;;;;;;
Rousseau;Babylonne;;;;;;;;
Caroline;Clergé;;;;;;;;
M. de;Garde;;;;;;;;
Adam;Moines;;;;;;;;
;Auterive;;;marmiton;;;;;
Kinglin;Dijon;;;;;;;;
Clitandre;Armincourt;;;;;;;;
Oronte;Ormilly;;;;;;;;
Araminte;;;;;Belle-;;;;
Éraste;Beauregard;;;;;;;;
Luscinde;Saint-Hilaire;;;;;;;;
