filename	au-name	image	field of work	sex or gender	title EN	Wikidata ID	title FR	genre	main subject	image2	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf
Reveroni_Pauliska	Jacques-Antoine de Révérony Saint-Cyr				Pauliska ou la Perversité moderne	Q3372783	Pauliska ou la Perversité moderne, mémoires récents d'une Polonaise	libertine novel			M	1798	1798	autodiegetic	modern	semi-automatic transcription	64952	medium	98.85
Riccoboni_Histoire	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Histoire du marquis de Cressy						F	1758	1814	heterodiegetic	modern	semi-automatic transcription	25982	short	58.17
Riccoboni_LettreJuliette	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Lettre de Milady Juliette Catesby à Milady Henriette Campley						F	1759	1759	epistolary	modern	semi-automatic transcription	33221	short	59.22
Riccoboni_LettresAdelaide	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Lettres d'Adelaïde de Dammartin, comtesse de Sancerre, à M. le Comte de Nancé, son ami						F	1767	1818	epistolary	modern	semi-automatic transcription	49408	short	67.44
Riccoboni_LettresFanni	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Lettres de Fanni Butler à Milord Charles Alfred de Caitombridge						F	1757	1757	epistolary	modern	semi-automatic transcription	32027	short	57.12
Riccoboni_MissJenny	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Histoire de Miss Jenny, écrite et envoyée par elle à Miladi, comtesse de Roscomond						F	1764	1818	autodiegetic	historical	semi-automatic transcription	94498	medium	64.39
Riccoboni_MylordRivers	Marie Jeanne Riccoboni	Marie-Jeanne Riccoboni.png		female	Lettres de Mylord Rivers à Sir Charles Cardigan						F	1776	1776	epistolary	historical	semi-automatic transcription	49147	short	77.57
Rosny_Firmin	Joseph Rosny	Portrait de Joseph Rosny (1771-1814).jpg		male	Firmin ou le Jouet de la fortune	Q57200464	Firmin ou le Jouet de la fortune	autofiction	French Revolution		M	1798	1798	autodiegetic	modern	semi-automatic transcription	37634	short	98.88
									literature										
Rousseau_Emile	Jean-Jacques Rousseau				Emile, or On Education	Q913599	Émile ou De l’éducation	education novel		EmileTitle.jpeg	M	1762	1780-1789	autodiegetic	modern	semi-automatic transcription	277281	long	62.33
							Emile	philosophical novel											
								treatise											
Rousseau_Julie	Jean-Jacques Rousseau	Jean-Jacques Rousseau (painted portrait).jpg	botany	male	Julie, or the New Heloise	Q129289	Julie ou la Nouvelle Héloïse	epistolary novel		RousseauJulie.jpg	M	NA	1774	epistolary	modern	semi-automatic transcription	291120	long	61.18
Sacy_Amours	Claude Louis Michel de Sacy			male	Les Amours de Mirtil						M	1761	1761	heterodiegetic	historical	double keying	13704	short	69.57
Sade_120	Marquis de Sade	Marquis de sade.jpg		male	The 120 Days of Sodom	Q1210734	Les Cent Vingt Journés de Sodome	erotic novel	sadomasochism	120journees1931.jpg	M	NA	1904	heterodiegetic	modern	semi-automatic transcription	166023	long	1
Sade_Aline	Marquis de Sade	Marquis de sade.jpg		male	Aline and Valcour	Q629452	Aline et Valcour	speculative fiction novel		Aline et Valcour - Illustration - Project Gutenberg eText 17707.jpg	M	1795	1795	epistolary	historical	semi-automatic transcription	297979	short	95.36
								epistolary novel											
								erotic novel											
Sade_Infortunes	Marquis de Sade	Marquis de sade.jpg		male	Les Infortunes de la vertu	Q3233344		philosophical fable			M	1787	1787	heterodiegetic	modern	semi-automatic transcription	53703	short	1
								erotic literature											
Sade_Justine	Marquis de Sade	Marquis de sade.jpg		male	Justine	Q1329470	Justine ou les Malheurs de la vertu	Gothic novel		Sade 1.jpeg	M	1791	1791	heterodiegetic	modern	semi-automatic transcription	119412	long	91.42
								erotic novel											
								novella											
								erotic literature											
								novel											
Sade_Philosophie	Marquis de Sade	Marquis de sade.jpg		male	Philosophy in the Bedroom	Q1215417	La Philosophie dans le boudoir	erotic literature		Sade - Philosophie dans le boudoir, Tome I titre 1795.jpg	M	1791	1791	dialogue novel	modern	semi-automatic transcription	67671	medium	95.37
								libertine novel											
Segur_Correspondance	Joseph Alexandre Pierre de Ségur, Viscount of Ségur				Correspondance secrète entre Ninon de Lenclos, le Marquis de Villarceaux et Madame M.						M	1789	1805	epistolary	historical	semi-automatic transcription	36922	medium	89.104
