filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	author_MiMoText-ID	title_wikidata	title_MiMoText-ID	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_publisher	printSource_date	resp_datacapture	resp_encoding
Arnaud_Zenothemis	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Zénothémis	M	1773	1773	heterodiegetic	historical	semi-automatic transcription	18689	1	short	73.9	Q548610	Q68	Q123072257	Q1845	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
BarbeMarbois_Parisienne	François Barbé-Marbois	1745	1837	La Parisienne en province	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	28983	1	short	69.14	Q708732	Q79	Q123360233	Q1676	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Parisienne en province . Ouvrage national. Par M...	https://gallica.bnf.fr/ark:/12148/bpt6k6382224v	Bibliothèque national de France	2013	La Parisienne en province. Ouvrage national. Par M.....	François marquis de Barbé-Marbois	Amsterdam, Paris	veuve Duchesne	1769	gallica	Johanna Konstanciak
Barthe_Femme	Nicolas Thomas Barthe	1736	1785	La jolie femme ou la femme du jour	M	1769	1769	heterodiegetic	historical	semi-automatic transcription	62828	1	medium	69.15	Q3340819	Q83	Q123124831	Q1677	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Jolie Femme, Ou La Femme Du Jour.	https://www.digitale-sammlungen.de/de/view/bsb10088194	Bayerische Staatsbibliothek	2009	La jolie femme, ou la femme du jour.	Nicolas-Thomas Barthe	Lyon, Rouen, Paris	Deville, Abraham Lucas, Le Jay	1769	Münchener DigitalisierungsZentrum	Johanna Konstanciak
Bastide_Maison	Jean François Bastide	1724	1798	La Petite Maison	M	1762	1879	heterodiegetic	modern	semi-automatic transcription	6933	1	short	62.9	Q3165946	Q88	Q123000894	Q1460	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Petite Maison	https://fr.wikisource.org/wiki/La_Petite_Maison	Wikisource	2017	La Petite Maison	Jean-François de Bastide	Paris	Librairie des Bibliophiles	1879	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beauharnais_Lettres	Fanny de Beauharnais	1737	1813	Lettres de Stéphanie	F	1778	1778	epistolary	historical	double keying, semi-automatic transcription	130178	3	long	78.12	Q446559	Q96	Q123125163	Q1957	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Lettres de Stéphanie , roman historique, en trois parties.	gallica, https://gallica.bnf.fr/ark:/12148/bpt6k5795955s, https://gallica.bnf.fr/ark:/12148/bpt6k57386640	Bibliothèque national de France	2009, 2010, 2009	Lettres de Stéphanie.	Fanny de Beauharnais	Paris	unknown	1778	"double keying by ""Jiangsu"", China"	Julia Dudar
Beaumont_Belle	Jeanne-Marie Leprince de Beaumont	1711	1776	La Belle et la Bête	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	5599	1	short	56.19	Q466788	Q601	Q60193373	Q4001	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Contes moraux pour l’instruction de la jeunesse: La Belle et la Bête	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/La_Belle_et_la_B%C3%AAte	Wikisource	2021	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	Barba	1806	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beaumont_Clarice	Jeanne-Marie Leprince de Beaumont	1711	1780	La nouvelle Clarice	F	1767	1767	epistolary	historical	double keying	135460	2	long	67.36	Q466788	Q601	Q123124899	Q1032	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	"La nouvelle Clarice, histoire véritable, par Mme Le Prince [""sic""] de                        Beaumont"	https://gallica.bnf.fr/ark:/12148/bpt6k6550212p, https://gallica.bnf.fr/ark:/12148/bpt6k65436683/	Bibliothèque national de France	2013, 2013	La nouvelle Clarice, histoire véritable	Jeanne-Marie Leprince de Beaumont	Lyon, Paris	P. Bruyset-Ponthus	1767	"double keying by ""Jiangsu"", China"	Julia Dudar, Christof Schöch
Beaumont_Prince	Jeanne-Marie Leprince de Beaumont	1711	1776	Le Prince Chéri	F	1756	1806	heterodiegetic	modern	semi-automatic transcription	4674	1	short	56.19	Q466788	Q601	Q123392354	Q4002	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Contes moraux pour l’instruction de la jeunesse: Le Prince Chéri	https://fr.wikisource.org/wiki/Contes_moraux_pour_l%E2%80%99instruction_de_la_jeunesse/Le_Prince_Ch%C3%A9ri	Wikisource	2021	Contes moraux pour l'instruction de la jeunesse	Jeanne Marie Leprince de Beaumont	Paris	Barba	1806	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Beckford_Vathek	William Beckford	1760	1844	Vathek: conte arabe	M	1787	1787	heterodiegetic	modern	semi-automatic transcription	35155	1	short	87.25	Q361026	Q102	Q54548	Q1070	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	VathekConteArabe	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/, https://fr.wikisource.org/wiki/Vathek/%C3%89dition_1787_Paris	txtlab	2016	Vathek, conte arabe	William Beckford	Paris	Poinçot	1787	unknown	Amelie Probst
Bellin_Nuit	Louis François Marie Bellin de La Liborlière	1774	1847	La Nuit anglaise	M	1799	1799	heterodiegetic	historical	semi-automatic transcription	47057	2	short	99.44	Q3261946	Q105	Q123125821	Q2722	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	La Nuit Anglaise, Ou Les Aventures, jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très-communes De M. Dabaud, Marchand De La Rue                        St.-Honoré, A Paris	https://gdz.sub.uni-goettingen.de/id/PPN879346302, https://gdz.sub.uni-goettingen.de/id/PPN879346396	Staats- und Universitätsbibliothek Göttingen	2017, 2017	La nuit anglaise ou aventures jadis un peu extraordinaires, mais                        aujourd'hui toutes simples et très communes de M. Dabaud, marchand de la rue                        Saint-Honoré, à Paris	Louis François Marie Bellin de La Liborlière	Hambourg, Brunswick, Paris, Londres, Leipzig, Berlin, Francfort sur le Mein, Manheim, Basle, Breslau	P. F. Fauche et Compagnie, Pougens, rue St. Thomas du Louvre No. 246., J. de Boffes libraire, GerardStreet N.7, Soho, Dulau et Comp. Wardour-Street. Soho Square, Rabenhorst, lib., Mettra, lib., bureau du Journal françois., Fontaine, lib., Decker, lib., G. T. Korn jun. lib.	1799	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Johanna Konstanciak
