filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count
Nerciat_Felicia	     Robert-André Andréa de Nerciat	"
     Félicia ou mes Fredaines
    "	M	"
      1775
     "	"
      1778
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	100564
Popeliniere_Daira1	Alexandre Jean Joseph Le Riche de La Popelinière	Daïra. Histoire orientale — Tome 1	M	1761	1761	autodiegetic	historical	double keying	45343
Popeliniere_Daira2	Alexandre Jean Joseph Le Riche de La Popelinière	Daïra. Histoire orientale — Tome 2	M	1761	1761	autodiegetic	historical	double keying	21689
Prevost_Manon1	Antoine François Prévost	Histoire du Chevalier des Grieux et de Manon Lescaut	M	1731	1846	autodiegetic	modern	semi-automatic transcription	31578
Prevost_Manon2	Antoine François Prévost	Histoire du Chevalier des Grieux et de Manon Lescaut	M	1731	1846	autodiegetic	modern	semi-automatic transcription	31396
Prevost_Monde	Antoine François Prévost	Le monde moral,: ou mémoires pour servir à l'histoire du cœur humain	M	1760	1766	autodiegetic	modern	semi-automatic transcription	148056
Puget_Periphas1	Puget de Saint-Pierre	Les aventures de Periphas, descendant de Cécrops — Partie 1	M	1761	1761	heterodiegetic	historical	double keying	30202
Puget_Periphas2	Puget de Saint-Pierre	Les aventures de Periphas, descendant de Cécrops — Partie 2	M	1761	1761	heterodiegetic	historical	double keying	34339
Puttelange_Roi	     Jean Vesque de Puttelange	"
     Le Roi Guiot
    "	M	"
      1791
     "	"
      1791
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	25801
Retif_AntiJustine	     Nicolas-Edme Rétif de la Bretonne	"
     L'Anti-Justine
    "	M	NA	"
      1798
     "	"
      autodiegetic
     "	"
      modern
     "	NA	56599
Retif_Paysanne	     Nicolas-Edme Rétif de la Bretonne	"
     La paysanne pervertie ou Les dangers de la ville
    "	M	NA	"
      1784
     "	"
      epistolary
     "	"
      modern
     "	NA	199444
