,Merard_Bergeries,Lesuire_Crime1,Ducray_Cinquante1,Constant_Laure2,Loaisel_Lucile,Kimber_Thompson2,LaPlace_Lydia,Puget_Periphas_1,Florian_Estelle,Morelly_Naufrage2,Kimber_Thompson,Puget_Periphas_2,Fourqueux_Zély,Beauharnais_Lettres,Florian_Galatée,Jacquant_Lettres,Benouville_Pensees,Gorjy_Voyage,Abbes_Voyage,Leonard_Lettres1,Popeliniere_Daira_2,Benoist_Elisabeth3,Lagrave_Sophie1,Sacy_Amours,Lagrave_Zabeth1,Tiphaigne_Galligenes_1,Constant_Laure,Beaumont_Clarice,Jacquin_Parisiennes2,Popeliniere_Daira_1,Lesuire_Aventurier1,Morelly_Naufrage,Meissner_Histoire1,Doppet_Memoires,Loaisel_Comtesse,LaPlace_Collection,Tiphaigne_Galligenes_2,sum
milcourt,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,128
voyois,0,15,0,2,0,1,3,0,2,1,3,0,0,6,3,3,0,0,1,9,4,1,0,0,1,1,7,0,6,18,16,0,1,9,0,13,0,126
voyoit,1,2,0,4,6,4,2,3,2,8,6,4,0,1,0,1,4,0,1,2,2,0,0,2,13,3,2,1,0,6,10,4,7,5,6,9,5,126
duclos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,124
ames,6,0,2,1,7,5,0,2,5,6,2,6,0,4,3,8,4,0,0,3,2,1,2,2,2,2,5,0,2,5,0,10,1,7,8,2,8,123
caractere,6,0,0,0,0,13,16,6,0,0,21,2,1,10,0,0,0,0,0,3,0,7,0,0,0,1,0,0,2,1,4,0,1,13,6,1,6,120
pû,0,0,0,0,0,1,23,1,0,0,1,3,0,0,0,11,20,0,1,0,5,2,0,0,0,0,0,0,1,35,0,0,0,1,0,13,2,120
galatée,17,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
devois,0,9,0,5,1,7,0,1,2,0,7,1,0,4,1,7,1,0,0,2,2,0,0,0,0,1,5,0,6,4,5,1,0,10,1,35,0,118
mirfor,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,118
habitans,0,1,4,1,0,1,0,4,9,40,0,3,3,0,0,1,0,0,0,2,2,1,0,2,2,4,1,0,1,3,0,17,3,3,0,7,2,117
duncan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,49,117
agathe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,116
trouvoit,3,5,0,3,2,4,1,2,3,0,8,0,0,2,2,7,2,0,1,2,2,1,0,0,11,7,0,1,1,3,10,1,5,5,2,13,2,111
talens,0,6,11,0,3,2,1,16,5,3,5,8,2,4,0,1,3,2,2,0,0,0,1,3,4,1,1,0,3,1,1,2,3,1,3,10,3,111
sçavoir,0,0,0,0,0,6,0,1,0,0,10,0,1,0,0,3,20,0,2,0,5,5,0,0,0,1,0,0,7,14,0,0,0,0,0,33,1,109
daïra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,109
londres,0,0,0,1,0,49,10,0,0,0,19,0,0,6,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,16,0,107
faisois,0,4,0,4,0,8,1,0,0,2,6,1,0,5,2,10,1,0,1,2,3,0,0,0,0,1,5,0,12,5,4,2,0,13,0,13,0,105
louise,0,0,0,0,0,94,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,105
enneric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,105
m'étois,0,0,0,3,1,4,2,2,1,0,8,0,0,0,1,7,1,0,0,3,0,2,0,0,2,1,4,1,9,2,9,1,1,6,1,32,0,104
dupuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,103
espece,0,0,0,0,0,3,27,4,0,0,5,1,3,2,2,0,1,0,0,1,2,4,0,0,0,0,0,0,1,8,10,0,8,13,4,0,3,102
disois,4,5,0,9,0,1,0,1,1,0,0,0,0,2,1,6,3,0,1,8,2,0,0,0,1,1,5,0,2,6,12,0,2,6,0,23,0,102
tourmens,0,1,1,0,8,1,1,1,8,6,0,1,1,18,0,3,2,1,1,4,4,0,3,3,0,0,1,0,1,12,0,3,5,0,9,3,0,102
foibles,1,0,0,1,5,0,1,4,1,22,2,2,0,2,1,1,2,0,0,2,2,5,0,3,1,0,3,0,3,3,2,15,2,2,5,3,5,101
parloit,2,3,0,14,0,3,4,2,6,1,2,3,0,1,4,5,0,0,2,4,3,0,0,0,4,1,6,0,1,5,9,2,3,2,0,7,2,101
jetter,0,0,0,0,5,6,3,2,0,2,6,1,1,0,6,1,1,2,1,5,6,0,0,1,0,5,0,0,6,10,3,2,3,6,5,10,1,100
n'étoient,2,3,0,1,4,2,5,1,2,4,3,3,0,2,3,3,1,0,1,1,4,1,0,3,3,3,2,2,0,5,1,9,2,5,4,12,3,100
